0.5,1942.5,-1.15,4.25,
1.5,1927.2,-0.93,2.69,
2.5,1911.2,-0.32,3.42,
3.5000000000000004,1894.7,-0.76,2.36,
4.5,1877.6,-0.29,3.57,
5.5,1859.7,-0.31,3.3,
6.5,1841.2,1.09,5.56,
7.5,1822.0,-0.31,3.41,
8.5,1801.9,-0.37,3.46,
9.5,1781.0,-0.46,2.9,
10.5,1759.2,-0.35,3.53,
11.5,1736.3,-0.07,3.75,
12.5,1708.7,2.38,7.7,
13.5,1674.6,0.99,5.87,
14.499999999999998,1636.1,2.74,6.84,
15.5,1594.6,2.69,6.97,
16.5,1551.0,2.56,6.54,
17.5,1505.7,2.0,6.31,
18.5,1459.2,1.73,5.84,
19.5,1411.7,1.01,5.15,
20.5,1363.4,1.37,5.53,
21.5,1307.7,-0.13,3.67,
22.5,1240.0,1.27,7.68,
23.5,1163.3000000000002,-0.2,3.14,
24.5,1080.6,1.86,6.22,
25.5,995.0,1.7,5.92,
26.5,909.4000000000001,0.01,3.96,
27.500000000000004,826.9000000000001,2.75,7.17,
28.499999999999996,750.3,0.22,4.22,
29.5,682.6999999999998,1.34,5.35,
30.5,626.6000000000001,5.5,9.87,
31.5,579.3,4.82,9.27,
32.5,535.3999999999999,4.27,8.62,
33.5,494.5,1.01,5.3,
34.5,456.0999999999999,-0.09,2.9,
35.5,419.9000000000001,0.43,3.64,
36.5,385.10000000000014,1.07,5.12,
37.5,351.0999999999999,3.58,7.71,
38.5,317.0999999999999,3.55,8.08,
39.5,282.29999999999995,2.4,6.63,
40.5,245.60000000000014,0.49,3.59,
41.5,205.60000000000014,0.8,4.76,
42.5,160.80000000000018,4.74,8.97,
43.5,109.29999999999995,2.49,6.91,
44.5,49.0,5.35,9.61,
45.5,-20.90000000000009,2.48,6.53,
46.5,-100.60000000000036,2.02,6.5,
47.5,-190.0,2.79,6.72,
48.5,-289.0,0.95,4.96,
49.5,-390.5999999999999,1.18,6.28,
50.5,-492.0999999999999,0.96,4.79,
